[536.5, 290.5;
 508.15503, 303.36606;
 480, 316.5;
 454.56726, 327.34012;
 430.6637, 338.603;
 406.64948, 348.55362;
 383.65869, 359.79922;
 359.08615, 370.54214;
 341.27979, 378.52661;
 318.62204, 388.76715;
 303.15555, 396.63736;
 522.45044, 256.31143;
 494.5, 269;
 467.57376, 282.8634;
 443.70941, 295.24023;
 417.526, 307.17444;
 393.84485, 318.08258;
 373.73245, 328.1759;
 352.56879, 339.13953;
 329.07724, 350.38727;
 311.34656, 358.98865;
 290.08734, 369.42343;
 509.7254, 223.57957;
 481.21521, 237.09338;
 456.36099, 251.31895;
 430.40607, 263.52042;
 407.07849, 277.14099;
 383.74524, 287.85764;
 361.94687, 299.61142;
 340.84711, 310.05145;
 321.57751, 320.52469;
 302.85297, 329.54095;
 284.89267, 340.70947;
 495.53375, 190.42448;
 469.50711, 205.79982;
 442.76596, 219.44142;
 419.00858, 232.93303;
 394.73898, 246.52534;
 374.14349, 259.31915;
 350.46198, 271.51074;
 330.5, 281;
 311.5, 292.5;
 294.2532, 303.09265;
 276.44675, 312.09134;
 482.81229, 159.98866;
 456.38232, 174.00374;
 431.72858, 189.94554;
 407.36615, 202.56853;
 384.73111, 217.48636;
 361.32874, 230.60744;
 342.2334, 242.94833;
 320.5, 254;
 302.5, 264.5;
 284.70398, 275.68747;
 266.5, 285.5;
 469.66095, 127.76556;
 443.72144, 144.20479;
 419.17456, 159.25026;
 396.33841, 173.64697;
 374.89066, 186.06831;
 353.17267, 201.83678;
 331.93033, 213.77382;
 312.37119, 226.4702;
 293.19611, 239.15756;
 276.10043, 249.85591;
 259.54153, 260.90576;
 457.45749, 98.371178;
 431.88129, 113.36595;
 408.00803, 129.49266;
 385.40427, 144.65903;
 364.14166, 159.87865;
 342.72037, 172.69919;
 322.76712, 186.84007;
 303.28909, 199.87564;
 286.31479, 213.31776;
 268.70364, 221.40305;
 251.55795, 235.59886;
 444, 66.5;
 420.72952, 85.451004;
 395.0238, 101.62498;
 374.5, 115;
 351.87112, 132.23145;
 333.99008, 145.7928;
 313.1644, 159.41515;
 294.5, 170.5;
 276.52356, 185.62102;
 260.27661, 197.7682;
 243.06366, 208.31828]
