[554.5, 343;
 524.11737, 344.99884;
 495.44275, 348.90192;
 463.94516, 350.53381;
 434, 354.5;
 406, 356;
 378, 357.5;
 350.5, 360;
 322.5, 364.5;
 295.5, 363.5;
 272.82065, 368.4809;
 551.01367, 311.62668;
 519.14105, 312.13336;
 490.46741, 318.43063;
 460, 321;
 431.73868, 323.85022;
 403, 326;
 375, 329;
 348, 331.5;
 324.0993, 333.6022;
 296, 336;
 270, 339.5;
 546.5, 281;
 516.34546, 284.78024;
 486.5, 287.5;
 457.50928, 291.04752;
 429.66, 295.09518;
 400, 297;
 371.17441, 300.06937;
 346, 303;
 319, 305.5;
 293, 308.5;
 268.81598, 311.99927;
 543.46661, 253.98276;
 512.5, 255;
 483.70685, 258.59674;
 454.8136, 262.95892;
 425.77881, 264.8522;
 397.60895, 267.64423;
 369.97296, 272.35648;
 343, 274.5;
 316.5, 277.5;
 291.5, 281.5;
 266.31128, 284.54965;
 539.5, 221.5;
 509.59314, 225.51482;
 479.5, 229.5;
 451, 233.5;
 422.56287, 236.36053;
 393.99246, 240.67038;
 367.5, 242.5;
 341, 247;
 315, 250;
 288.5, 253;
 265.77518, 257.97601;
 535.70972, 192.6227;
 506.10828, 196.4169;
 476.50095, 201.29315;
 448.03665, 203.94708;
 420.05594, 208.06274;
 392.52359, 212.67532;
 364.5, 215;
 338, 220;
 312, 223;
 286.5, 226.5;
 262.5, 229.5;
 532.45837, 165.30583;
 502.38171, 168.78963;
 474.55469, 172.31187;
 444.5, 175.5;
 416.5, 180.5;
 390.5, 184;
 362.5, 188.5;
 335.70749, 192.38571;
 310.5, 196;
 284.5, 199.5;
 260.5, 203.5;
 528.4895, 134.9146;
 499.5, 139;
 469.94601, 144.722;
 442.47714, 148.78613;
 414.26892, 152.20117;
 387.76227, 157.62189;
 360.5636, 159.68335;
 333.5, 165;
 309.40396, 169.90213;
 283.52991, 171.41611;
 258.5, 177]
