[587, 383;
 552.46552, 385.68585;
 516.5, 385.5;
 484.97852, 384.82208;
 450, 384;
 418.52545, 384.20569;
 383.5, 384;
 351.5, 383;
 318.5, 383.5;
 287, 383;
 256, 382.5;
 586.17719, 350.48846;
 551, 351;
 518.409, 351.20337;
 484.5, 349.5;
 451.34622, 350.12836;
 416.5, 351;
 384.54068, 350.7641;
 350.5, 350.5;
 317.5, 350.5;
 286.5, 350.5;
 253, 349.5;
 585, 317;
 550.6424, 317.63712;
 516.5, 317.5;
 481.39584, 318.64093;
 446.17413, 317.59677;
 416.47342, 317.84363;
 383, 318;
 350.34277, 317.67477;
 317.5, 318;
 286.76157, 317.7648;
 252.5, 318.5;
 584.10858, 284.64481;
 550, 283.5;
 516.0412, 284.02551;
 482, 285;
 449.53143, 284.15283;
 415.5, 285;
 382.73709, 285.55286;
 349, 286;
 317, 286;
 285.5, 285.5;
 254.5, 288;
 584.34808, 251.79852;
 549.46307, 252.32103;
 516.0332, 253.05455;
 482.01428, 251.9231;
 448.48135, 252.46434;
 414.55298, 252.19672;
 382, 252.5;
 347.87042, 254.69173;
 316.5, 252.5;
 283, 253.5;
 252.46948, 254.81268;
 583.5, 216.5;
 549, 217;
 514.43378, 218.25368;
 481, 218.5;
 446.5, 218.5;
 414.4292, 220.69217;
 379.44003, 220.38913;
 346.5, 220.5;
 314.5, 220;
 281.5, 222.5;
 251.95235, 218.9133;
 581.53839, 182.93993;
 547.68115, 184.76913;
 514.32843, 184.3045;
 480, 185;
 446.8143, 186.92737;
 414, 186.5;
 380, 187;
 346.40515, 189.77618;
 314.16852, 188.39366;
 282.5, 189.5;
 251.5, 188;
 582.29236, 149.96742;
 548.23438, 150.48067;
 514.5, 151.5;
 479.87375, 151.46867;
 445.99515, 152.35042;
 412.65674, 155.71718;
 378, 152.5;
 345.77457, 153.66484;
 310.71161, 156.2041;
 282.84448, 156.55373;
 249, 156.5]
