[583, 323;
 545, 321;
 507, 319;
 469, 317;
 433, 314.5;
 395, 315;
 359.3168, 314.38794;
 322, 311.5;
 286.5, 310;
 251.5, 308.5;
 217, 306;
 584.25427, 284.17719;
 546.5, 282;
 507.98056, 281.65771;
 470.5, 280;
 431.5, 278;
 396.5, 276;
 359.5, 276.5;
 324.5, 273;
 289.5, 274.5;
 253.5, 271;
 219, 271.5;
 584.5, 246;
 546.37262, 245.0867;
 508.05118, 241.14742;
 471.5, 243;
 434.5, 240.5;
 396.5, 240;
 359.5, 239.5;
 323.5, 236.5;
 290, 236;
 255.5, 236.5;
 220.5, 234;
 585, 209;
 547, 207.5;
 509, 206.5;
 471.44339, 205.00269;
 434, 203.5;
 397.5, 204;
 362, 202.5;
 326.5, 201.5;
 291, 200.5;
 257, 199;
 223, 199.5;
 586.2243, 172.63264;
 548.10968, 168.86183;
 510.25409, 170.11111;
 473, 168.5;
 436.59503, 168.255;
 399.5, 167.5;
 364.5, 165;
 328, 166;
 293.04593, 165.02313;
 258, 164;
 223.29597, 163.49634;
 586, 135;
 548.4093, 134.97079;
 511, 133.5;
 473.83856, 132.65866;
 437, 131.5;
 401, 130.5;
 366, 131.5;
 329, 130;
 294.5, 129.5;
 260, 129;
 226.2249, 132.1073;
 586.3905, 99.44323;
 549, 97.5;
 511.35196, 97.722893;
 474, 95.5;
 438.4404, 95.655334;
 402, 95;
 366, 93.5;
 331.5, 95.5;
 296, 94.5;
 263.5, 96;
 227, 95;
 587, 61;
 548.22913, 61.527061;
 511, 60;
 475.47397, 59.778042;
 439.5, 60;
 402.5, 59.5;
 367.5, 60;
 333, 59.5;
 298.5, 60;
 264, 59;
 231, 60.5]
