[567, 274;
 534.63959, 278.32898;
 501, 283;
 467.60019, 286.57184;
 433.5, 291;
 400.92648, 294.55234;
 363.3642, 299.61792;
 326.5, 304.5;
 290, 309.5;
 251.07599, 314.38971;
 214, 319;
 562.31641, 239.64259;
 529.5, 242.5;
 497.26703, 247.08739;
 463, 251;
 428.5, 254;
 393.5, 259.5;
 359, 263;
 322, 267.5;
 285.62427, 272.64969;
 249.64575, 277.01855;
 211, 280.5;
 557, 205;
 524.44135, 208.54538;
 492.63895, 213.00183;
 458.12366, 215.64201;
 424, 219.5;
 389.5, 223;
 354, 226.5;
 318.49539, 229.35597;
 282.75647, 235.76538;
 244.5, 238.5;
 208.49364, 243.26454;
 551.78473, 172.7493;
 520.75067, 175.50577;
 486.99561, 176.70346;
 453.5, 181;
 419.5, 184;
 386.89752, 188.17526;
 349, 191;
 313.5, 194;
 276.5, 197.5;
 241.47792, 203.92955;
 202, 205.5;
 546.5, 137;
 514.5, 140;
 482.58731, 144.49072;
 448, 145.5;
 415, 148.5;
 378.2782, 153.44118;
 345, 155;
 309, 159;
 274.45236, 163.82187;
 235.5, 165.5;
 199, 168.5;
 542, 104.5;
 509, 106;
 474.67572, 110.49216;
 444.14676, 112.54407;
 410, 115;
 375.5, 116.5;
 341, 120;
 304, 124;
 268.5, 126.5;
 232.5, 128.5;
 195, 132.5;
 536, 70.5;
 504, 73;
 472.26334, 76.463211;
 439.5, 78;
 406.48746, 80.777191;
 371.5, 83;
 336.1503, 86.456047;
 301.88885, 88.202477;
 264.5, 91.5;
 228, 93.5;
 190.5, 98;
 531.5, 38.5;
 500.51532, 40.600033;
 467.93137, 42.466061;
 434, 43;
 402.24097, 45.936466;
 366.5, 47.5;
 331.93228, 51.486153;
 297, 52.5;
 261.59311, 56.478554;
 223.5, 59.5;
 188, 61]
