[533.66992, 384.44989;
 494.48059, 385.49896;
 454.57199, 385.97318;
 416.05115, 385.79886;
 375.83582, 385.5524;
 337.15265, 385.19434;
 297.89966, 384.33426;
 259.03198, 383.58939;
 220.10777, 383.58432;
 181.14009, 384.94971;
 143.5686, 381.98975;
 536.50586, 347.48386;
 495.91803, 347.86563;
 455.7092, 348.15488;
 416.27057, 347.99667;
 377.29913, 345.95999;
 337.75333, 346.94547;
 297.55182, 346.22818;
 258.47052, 346.25214;
 219.59827, 346.29932;
 179.84541, 344.54575;
 141.34706, 344.92941;
 537.72595, 310.30136;
 497.29941, 307.03772;
 456.40723, 307.9332;
 417.52899, 307.62341;
 377.63602, 307.91638;
 337.65619, 307.59955;
 298.06192, 307.67236;
 258.31302, 307.31555;
 218.66812, 306.29932;
 180.36205, 306.17313;
 142.27795, 306.25302;
 538.30127, 269.70276;
 498.0285, 269.7869;
 457.77792, 268.92529;
 418.17749, 269.00421;
 378.12866, 267.83987;
 337.82446, 268.24432;
 298.1608, 268.37695;
 258.03299, 268.06833;
 218.54442, 267.90802;
 180.21559, 267.95468;
 140.4304, 267.23053;
 540.40015, 230.3483;
 499.40158, 229.64748;
 458.47144, 229.49373;
 418.36655, 229.55969;
 378.07401, 228.76974;
 338.12265, 228.52205;
 297.81659, 228.60239;
 258.30872, 228.39577;
 218.30849, 227.83318;
 178.61334, 227.94585;
 139.51503, 227.46759;
 541.21057, 188.46103;
 500.23865, 190.11653;
 459.01306, 189.03557;
 419.46173, 189.08241;
 377.42743, 189.22624;
 338.23077, 188.48431;
 298.37387, 188.4285;
 258.02841, 188.50389;
 218.33711, 188.32297;
 177.72021, 187.7655;
 138.47189, 188.17529;
 542.38989, 148.31505;
 502.22241, 147.71751;
 460.31058, 148.11414;
 420.07956, 147.672;
 378.82587, 148.26845;
 338.56888, 147.68149;
 298.26172, 148.48175;
 258.37103, 147.68645;
 218.38896, 148.45273;
 177.48846, 148.13966;
 136.32318, 147.22311;
 544.45947, 105.73018;
 502.99957, 106.99757;
 462.96146, 106.66163;
 420.64804, 107.0926;
 379, 107;
 339.85504, 107.8154;
 298.27158, 106.4948;
 258.46396, 107.50558;
 216.68738, 107.34769;
 176.5, 108;
 136.38472, 107.60327]
