[531, 362.5;
 492.5, 364;
 458.55344, 366.74667;
 421.1568, 365.98236;
 384.29669, 368.41443;
 346.31625, 368.30545;
 308.26044, 369.74289;
 270.05582, 370.99768;
 232.2099, 371.66769;
 194.04901, 372.72433;
 155.97456, 373.92422;
 526.65625, 325.09152;
 490.59494, 328.02097;
 453.82578, 329.56177;
 418.48251, 330.28876;
 379.94989, 332.0542;
 343.99661, 332.04648;
 307.16104, 332.23096;
 269.91641, 334.28482;
 232.46867, 333.47412;
 194.14706, 335.60757;
 156.13152, 336.78876;
 522.47729, 291.95758;
 487.0943, 291.34555;
 450.53833, 293.77963;
 415.26324, 293.74142;
 378.38989, 295.67615;
 342.33081, 295.8923;
 305.39041, 297.60883;
 268.27551, 297.46442;
 230.591, 298.1936;
 194.25392, 299.49484;
 155.48503, 299.54031;
 518.30487, 257.20078;
 482.10846, 257.36749;
 448.00275, 258.7157;
 411.99683, 259.96494;
 375.98996, 260.76291;
 339.47055, 261.66171;
 303.6232, 262.18658;
 266.59866, 262.30676;
 230.3286, 264.27887;
 193.48744, 264.37665;
 155.99527, 266.28836;
 513.57581, 226.11653;
 478.5, 224.5;
 443.99103, 226.0576;
 409.47595, 225.80359;
 373.54849, 227.68504;
 338.04324, 227.96622;
 302.03418, 228.02185;
 265.88049, 229.41507;
 230.01665, 230.04051;
 194.13104, 229.70453;
 155.31097, 230.25586;
 509.43927, 191.06635;
 475.66879, 193.98027;
 440.70099, 193.34573;
 405.95123, 193.63515;
 370.15518, 195.33949;
 335.74881, 194.50418;
 300.00342, 195.86409;
 264.8541, 196.58734;
 230.17163, 196.0856;
 192.54114, 195.35243;
 157.47131, 197.41194;
 505.57535, 161.64877;
 471, 162;
 437.48331, 161.61069;
 403.52039, 161.6678;
 368.22266, 163.36462;
 334.27847, 162.0491;
 298.75534, 164.0119;
 263.71555, 163.72639;
 228.48746, 164.50186;
 192.65971, 164.20068;
 156.03273, 163.2708;
 499.5, 130;
 467.61041, 130.85249;
 434.12823, 130.27963;
 400.35696, 131.65831;
 366.26917, 132.00156;
 331.96582, 131.51434;
 297.43604, 132.1077;
 261.82043, 131.65739;
 227.78247, 132.41383;
 191.40938, 131.5901;
 158.24879, 131.8512]
