[530, 415;
 493.69873, 409.81888;
 460.96597, 405.12408;
 424.54367, 398.92722;
 388.1492, 394.19077;
 352.07819, 387.82852;
 315.75137, 381.91272;
 278.87039, 376.71201;
 241.85738, 371.4227;
 203.21242, 365.33051;
 167.77693, 359.853;
 532.5, 378.5;
 498.33279, 374.06705;
 463.16357, 368.27386;
 428.10651, 363.33875;
 391.87076, 357.58353;
 356.34995, 351.72726;
 320.19745, 346.31519;
 284.09286, 339.61359;
 248.44243, 334.3924;
 210.86317, 328.64465;
 173.63388, 323.67673;
 535.5, 343;
 501.38071, 337.15604;
 465.88229, 333.89771;
 431.6792, 327.88007;
 395.845, 322.29462;
 360.62604, 316.47827;
 324.86981, 310.2431;
 289.58603, 304.69943;
 253.48868, 299.57144;
 215.69728, 294.10699;
 180.12662, 287.74442;
 537, 311;
 503.2894, 304.41522;
 468.44647, 298.42551;
 434.52722, 293.62463;
 399.63162, 288.11145;
 364.28931, 281.89734;
 330.05121, 275.96188;
 294.13266, 270.41147;
 258.13046, 265.3837;
 222.03535, 258.73932;
 186.63925, 253.49237;
 538.33655, 277.08423;
 505.68469, 271.98157;
 471.64667, 266.04129;
 437.60461, 259.84048;
 403.07901, 255.01332;
 368.16083, 248.9176;
 333.88495, 242.39523;
 298.82974, 237.15532;
 264.09039, 232.27431;
 228.27737, 225.80637;
 192.48701, 220.17224;
 540.5, 244.5;
 507.47144, 239.50822;
 473.62256, 234.12726;
 440.73013, 227.58789;
 406.40091, 221.95303;
 372.6944, 215.92947;
 337.93002, 210.02574;
 303.70847, 204.47026;
 268.50156, 198.54802;
 233.86151, 191.97612;
 198.38171, 186.19498;
 542.34595, 212.61887;
 509.84756, 207.49205;
 476.70721, 201.81229;
 444.1221, 195.50972;
 409.66406, 190.38943;
 376.02127, 183.82704;
 342.11328, 178.44122;
 308.26785, 172.11234;
 273.90302, 166.34557;
 239.11621, 159.70728;
 203.32568, 153.33847;
 544.72937, 180.92317;
 512.34961, 176.10065;
 479.97919, 169.44676;
 445.88937, 164.32225;
 411.81961, 159.26956;
 379.93689, 152.21989;
 346.2244, 146.65822;
 312.42551, 140.4789;
 278.32825, 134.40923;
 243.52432, 127.57082;
 209.97163, 122.05329]
