[478.20071, 392.24121;
 440.31207, 388.70667;
 402.72882, 386.26379;
 364.89835, 381.31015;
 325.62054, 377.04965;
 288.0098, 373.97397;
 250.11659, 369.62186;
 211.68082, 365.91397;
 173.01839, 361.73874;
 133.5298, 358.55417;
 95.512024, 351.60376;
 484.34073, 355.53452;
 446.12225, 351.72458;
 407.61441, 348.19833;
 369.88058, 344.36728;
 331.54446, 339.7478;
 292.56064, 336.15265;
 253.76582, 331.90234;
 215.29649, 328.14383;
 176.37186, 323.98624;
 136.90131, 319.41766;
 96.823364, 315.97327;
 489.75351, 318.1734;
 452.30014, 313.8924;
 413.47125, 309.76184;
 375.43033, 305.58102;
 335.90024, 301.51065;
 297.46356, 297.84045;
 258.03632, 293.81784;
 218.41498, 290.05096;
 179.57896, 285.39838;
 140.15834, 281.3172;
 101.30395, 277.15842;
 495.97223, 279.31638;
 457.13144, 276.15955;
 418.6134, 272.12021;
 379.95004, 267.9523;
 340.28329, 263.65469;
 301.42929, 258.98517;
 262.224, 255.12462;
 222.45795, 249.44995;
 183.58194, 246.28308;
 144.35242, 242.22849;
 103.77794, 237.96893;
 500.2883, 242.0482;
 463.04398, 237.22964;
 423.83124, 233.49823;
 384.16312, 229.24445;
 345.65601, 224.29012;
 306.29233, 219.95261;
 266.26724, 216.04427;
 225.93414, 211.97847;
 187.69093, 208.31813;
 147.21109, 202.52496;
 105.75058, 197.4615;
 506.5, 203;
 467.8158, 198.35284;
 428.5668, 194.04311;
 389.99857, 189.61629;
 350.03482, 185.07108;
 310.73947, 180.91435;
 270.37939, 176.2139;
 230.38443, 171.78023;
 190.42296, 167.42471;
 149.50476, 162.1015;
 110.1861, 157.89314;
 513.06372, 163.40987;
 474.30612, 157.37244;
 434.36673, 153.96146;
 394.59244, 149.76572;
 354.92007, 144.38638;
 316.01755, 140.16597;
 275.14798, 135.58458;
 234.54063, 130.98752;
 193.12553, 125.68429;
 153.70638, 121.89341;
 110.61306, 116.6676;
 520.11383, 121.56728;
 478.91263, 118.51491;
 440.16522, 113.19976;
 400.25424, 108.56737;
 360.32208, 103.73871;
 319.75269, 98.960052;
 280.30466, 93.732582;
 239.51952, 90.50959;
 197.88863, 85.228752;
 157.5, 80;
 115.60725, 76.184349]
