[524.42773, 349.9129;
 482.2706, 357.83426;
 440.34427, 363.72021;
 397.87183, 368.18896;
 356.5097, 371.88245;
 316.10117, 378.36212;
 276.99734, 381.9819;
 238.20793, 385.93149;
 199.62495, 391.5181;
 161.5, 395;
 125.73097, 399.91626;
 519, 310.5;
 476.5585, 316.36258;
 434.35138, 322.30908;
 393.24152, 326.659;
 352.27127, 331.72321;
 312.2182, 337.38889;
 272.84732, 342.05762;
 234.18904, 346.82516;
 195.45343, 351.55197;
 157.48285, 355.70206;
 121.31007, 361.67664;
 513.55066, 269.97934;
 470.72745, 274.37927;
 429.51785, 281.19336;
 388.09085, 286.35251;
 347.69464, 292.04092;
 307.87631, 297.50278;
 268.47232, 302.01291;
 229.92108, 307.47461;
 192.47368, 312.26288;
 155.49181, 315.52151;
 117.79369, 321.89172;
 507.50708, 227.5441;
 465.64563, 234.66742;
 424.3808, 240.67384;
 383.70193, 246.27892;
 343.77151, 251.93417;
 304.48837, 258.1087;
 264.62491, 263.43234;
 226.34195, 268.51703;
 189.53424, 273.97009;
 152.36343, 279.87833;
 115.881, 284.16083;
 501.79822, 189.99606;
 460.58325, 194.76108;
 419.39368, 201.57512;
 378.07593, 207.91235;
 338.9949, 213.8441;
 299.71774, 219.21512;
 260.51755, 224.63739;
 223.02435, 230.49696;
 185.76588, 235.75775;
 149.38293, 242.01115;
 113.5, 247;
 496.62561, 149.02672;
 454.5209, 156.07108;
 414.36951, 162.12891;
 373.92093, 168.32538;
 334.42886, 175.84125;
 296.18719, 180.69983;
 257.67072, 186.65034;
 219.82759, 193.49666;
 182.65987, 198.96057;
 145.79189, 203.70378;
 110.09517, 210.11041;
 490.97028, 111.5603;
 449.59689, 116.48371;
 408.75314, 124.04822;
 369.59381, 129.49231;
 330.04944, 137.68335;
 291.76117, 142.72464;
 253.94524, 150.03178;
 216.37352, 156.19476;
 180.26407, 162.22351;
 142.87117, 167.38211;
 108.56271, 174.28105;
 485.87344, 71.786682;
 443.38223, 79.326973;
 403.92972, 85.774506;
 364.89233, 93.294579;
 325.96759, 100.00716;
 287.96365, 105.96414;
 249.9949, 112.3724;
 212.9404, 119.14152;
 176.00911, 125.60859;
 142.81956, 131.0341;
 105.88743, 136.16479]
