[538, 354;
 500.32321, 355.3533;
 461.43127, 356.53867;
 422.32147, 355.98807;
 383.95328, 355.99677;
 346.26257, 355.89267;
 306.62289, 355.65298;
 268.23972, 357.46957;
 229.8239, 357.13333;
 191.99565, 358.03152;
 155.43759, 358.18646;
 538.57458, 314.64081;
 499.49081, 316.92111;
 460.87366, 314.7991;
 422.33911, 317.68683;
 383.69913, 318.03165;
 345.61853, 318.13968;
 306.27029, 318.22098;
 268.34393, 318.6604;
 229.84573, 319.3656;
 192.38948, 319.5163;
 153.61674, 320.0592;
 538.26617, 277.9393;
 499.9726, 277.55743;
 460.44745, 278.50449;
 422.25137, 278.82785;
 383.57343, 279.51996;
 344.78064, 279.83975;
 306.29495, 279.7475;
 267.82019, 279.78604;
 230.08705, 280.49677;
 192.03357, 280.37283;
 154.21494, 281.01913;
 538.29315, 238.21396;
 499.50507, 240.03908;
 459.99466, 240.01703;
 421.73438, 240.19502;
 382.078, 241.55238;
 344.55768, 241.47856;
 305.95502, 241.56047;
 267.51297, 241.70026;
 229.57909, 242.38287;
 192.34879, 243.19678;
 153.6293, 242.69968;
 537.3891, 201.62436;
 499.44513, 200.44156;
 459.71707, 201.86687;
 421.96341, 201.77715;
 382.55869, 202.53009;
 344.30994, 202.54117;
 306.15302, 203.38591;
 267.63937, 203.63156;
 229.64615, 204.33722;
 191.39162, 204.44286;
 151.84766, 203.98949;
 537.4823, 161.0472;
 498.14099, 162.72031;
 459.5, 164;
 421.37793, 163.59601;
 381.84796, 164.07016;
 343.94638, 164.42719;
 306.17783, 164.49341;
 267.49734, 166.04718;
 228.74451, 166.09792;
 189.55196, 165.68556;
 153.32076, 166.30649;
 538.74927, 124.83144;
 498.36572, 122.76836;
 459.01074, 124.34122;
 420.2211, 124.74563;
 382.21716, 126.07229;
 344.17123, 125.79456;
 305.36795, 126.58456;
 265.11957, 127.7747;
 226.99255, 127.21729;
 189.98381, 128.10191;
 153.5, 127;
 535, 85;
 497.64865, 85.029678;
 457.73889, 84.416405;
 420.49536, 86.364304;
 380.5, 87;
 343.60373, 87.657341;
 305.55597, 87.312744;
 267.99973, 89.668617;
 229.01317, 88.204636;
 190.29948, 90.211166;
 151.56636, 90.43644]
