[524.89258, 306.2959;
 483.45712, 311.51331;
 442.36142, 317.77704;
 400.67175, 323.87939;
 358.83664, 329.48544;
 316.9845, 335.05273;
 275.37833, 341.60025;
 232.38046, 346.35632;
 190.2682, 352.16769;
 148.034, 358.02014;
 105.85903, 364.14804;
 515.38361, 267.4884;
 474.76776, 273.50998;
 434.32904, 279.72058;
 393.54538, 284.45953;
 352.07956, 290.37106;
 311.04129, 295.57602;
 269.89255, 301.68729;
 227.88704, 306.32196;
 186.05879, 311.96121;
 144.26341, 317.59329;
 104.1314, 323.60516;
 506.62701, 231.59889;
 465.17606, 237.10954;
 425.90378, 242.31918;
 386.13794, 247.48334;
 346.01523, 253.5119;
 305.39743, 257.71918;
 264.36285, 263.79092;
 224.0587, 268.34528;
 182.38239, 273.4108;
 142.21941, 279.69052;
 101.64347, 285.53934;
 496.91382, 194.92862;
 457.96146, 201.50089;
 418.00452, 207.73665;
 379.53879, 211.71104;
 339.64749, 217.66888;
 299.78894, 222.5119;
 260.19064, 227.47763;
 219.57788, 232.24518;
 179.82518, 238.51994;
 139.82127, 243.89572;
 100.21117, 248.98466;
 488.60583, 163.13908;
 450.46451, 166.36438;
 410.88995, 172.85123;
 372.20419, 177.8672;
 333.64294, 183.21826;
 294.52759, 188.19366;
 255.45424, 192.23087;
 216.37386, 197.48662;
 176.47562, 204.06569;
 137.65515, 207.95451;
 97.448235, 213.47469;
 480.54108, 129.31683;
 441.72437, 134.7005;
 403.4704, 140.44176;
 366.22437, 144.08488;
 327.87445, 149.94032;
 289.58615, 153.69156;
 250.43405, 159.61147;
 211.70464, 164.48727;
 173.76976, 169.51974;
 135.73186, 174.5329;
 95.718246, 179.4883;
 471.80621, 98.242523;
 434.6539, 103.16039;
 397.57559, 107.75722;
 359.73248, 112.18438;
 322.19431, 117.95399;
 283.79727, 122.28739;
 245.50613, 126.74827;
 208.323, 132.3802;
 169.5434, 135.80478;
 132.12881, 140.15401;
 94, 145.5;
 464.63486, 67.17453;
 426.13556, 71.354942;
 390.71509, 75.274574;
 353.48666, 81.634026;
 315.93369, 86.290192;
 279.79205, 89.963303;
 242.14146, 95.670219;
 203.73236, 99.471107;
 167.56578, 104.35992;
 131, 107;
 92, 114]
