[462.63138, 392.34201;
 424.69357, 389.9613;
 387.43719, 390.81561;
 349.77863, 387.85226;
 310.65591, 385.78537;
 272.76566, 385.42316;
 234.90375, 384.1116;
 195.23552, 383.58417;
 158.36719, 382.21902;
 118.5, 378.5;
 81.298302, 378.23376;
 463.32739, 353.68076;
 425.73264, 352.16821;
 387.6969, 351.71982;
 349.92639, 349.5914;
 312.13693, 348.40619;
 274.1842, 347.75375;
 236.23975, 345.9256;
 197.84006, 344.13254;
 159.31783, 344.59354;
 122.04143, 342.08527;
 84.848137, 339.15268;
 463.564, 315.95963;
 426.12732, 314.33337;
 388.21494, 313.73822;
 351.51273, 311.81354;
 313.4819, 311.08771;
 275.69159, 309.6282;
 238.06081, 308.28812;
 200.2845, 306.19904;
 161.9937, 305.69104;
 124.05498, 303.73843;
 86, 303.5;
 464.36926, 278.52493;
 426.35538, 277.76257;
 389.54697, 275.86008;
 351.95657, 274.82236;
 314.34125, 273.80676;
 276.5535, 271.95316;
 239.76167, 270.311;
 201.79628, 270.28629;
 164.43904, 267.5517;
 125.57936, 265.68121;
 87.675095, 266.25064;
 463.51709, 242.2635;
 427.68213, 239.72496;
 389.86182, 240.16188;
 352.68039, 238.07735;
 315.49792, 237.3804;
 277.93823, 235.62132;
 240.36671, 234.09598;
 203.05632, 232.75766;
 166.07054, 232.17238;
 127.87685, 230.18951;
 91, 229;
 464.36642, 205.65987;
 427.2919, 205.21764;
 389.91403, 203.9543;
 353.73868, 202.13106;
 315.62549, 200.96115;
 279.66269, 200.32161;
 242.30502, 197.57301;
 203, 198;
 167.34721, 195.41315;
 129.86594, 193.94475;
 92.851097, 191.25943;
 464.03647, 170.21083;
 428.15704, 168.16133;
 390.49323, 167.43723;
 353.68951, 166.35272;
 317.19165, 165.17786;
 280.11847, 163.2601;
 244.20961, 162.44293;
 206.15338, 160.33899;
 169, 159.5;
 132.24901, 157.36493;
 97, 154;
 465.23547, 134.91185;
 427.47937, 134.04872;
 392.26157, 131.63416;
 354.5538, 130.49348;
 317.94443, 129.74332;
 281.77579, 127.59087;
 244.83621, 126.06003;
 208.54192, 125.2764;
 170.93889, 123.30717;
 135.5, 120;
 97.539986, 119.54945]
