[537, 389;
 493.96042, 389.94571;
 452.75699, 392.55087;
 409.33823, 394.27637;
 366.06348, 395.83475;
 324.03284, 397.68347;
 282.14227, 398.4382;
 240.50746, 399.71729;
 198.06187, 401.68466;
 155.55911, 404.47522;
 115.99979, 404.06534;
 536.72583, 346.7092;
 493.68762, 350.89127;
 450.43521, 349.82816;
 407.86322, 352.35629;
 365.37943, 353.78006;
 322.3674, 355.62448;
 280.05713, 357.50299;
 238.15359, 359.61145;
 196.33185, 360.43384;
 154.08371, 362.05795;
 112.27421, 364.71432;
 536.15778, 305.73148;
 492.68466, 306.96829;
 449.75281, 308.17889;
 406.39212, 310.35931;
 363.66159, 312.04669;
 320.62506, 313.79465;
 278.28033, 315.70068;
 235.5152, 317.65073;
 193.80524, 319.35983;
 151.48666, 319.46454;
 109.56438, 321.68109;
 535.1972, 261.18039;
 491.53073, 264.15689;
 448.26782, 265.93704;
 405.53458, 267.80417;
 361.85434, 269.92084;
 319.13324, 271.34506;
 276.04956, 273.51389;
 234.09052, 275.98956;
 191.21368, 276.91501;
 148.15434, 277.35416;
 107.29156, 279.87628;
 533.92017, 220.1613;
 490.2052, 222.11026;
 447.04028, 223.77069;
 403.81979, 225.10687;
 360.20425, 227.28441;
 317.66281, 228.42436;
 273.9538, 230.70839;
 231.90167, 232.0795;
 187.56337, 233.75874;
 145.89209, 236.38776;
 103.59723, 237.57831;
 533.53009, 175.32637;
 489.30954, 178.54401;
 445.96628, 179.4566;
 402.44684, 182.3251;
 358.62589, 184.16922;
 315.73749, 186.25002;
 272.28098, 188.08717;
 229.55974, 190.26917;
 186.43877, 191.99583;
 142.69115, 193.31551;
 101.40236, 196.25322;
 532.73584, 132.25804;
 488.26746, 133.43571;
 444.38828, 136.07536;
 400.5, 138.5;
 356.97079, 140.69868;
 314.34158, 142.07869;
 270.20667, 144.22552;
 227.42027, 146.30257;
 183.33546, 148.20966;
 140.79086, 150.68529;
 98.5, 153.5;
 531.6864, 86.243599;
 486.6698, 90.091225;
 440, 93;
 399.22906, 94.242447;
 353.45419, 97.229103;
 312.13672, 98.43586;
 268.11679, 100.26855;
 225, 102.5;
 182.03629, 104.23706;
 137.28139, 105.03322;
 95.852844, 109.28214]
