[521.15979, 383.2002;
 484.14377, 377.8674;
 446.168, 375.1478;
 408.11951, 371.57431;
 368.58539, 367.99164;
 329.81277, 364.19601;
 288.46115, 360.32712;
 248.1861, 356.75986;
 205.73817, 352.33569;
 163.4055, 349.23499;
 121.5, 345.5;
 523.52643, 341.26776;
 485.90662, 337.63788;
 447.73907, 335.41718;
 411.00638, 331.15793;
 371.66074, 327.46631;
 332.5889, 323.52652;
 291.52948, 319.60568;
 252.16899, 315.40564;
 210.36603, 310.84845;
 168.25735, 306.54855;
 126.17496, 301.72055;
 524.9903, 302.94244;
 487.99161, 300.15189;
 450.83499, 295.6319;
 413.62021, 291.3989;
 374.64075, 287.27713;
 335.65057, 282.64841;
 295.70422, 278.32712;
 255.5683, 273.98514;
 214.19315, 269.9433;
 172.54594, 265.18185;
 129.78638, 259.76074;
 526, 265;
 490.26895, 260.46005;
 453.82376, 255.65405;
 415.84073, 252.13821;
 377.62616, 248.01324;
 338.30347, 243.6225;
 299.31448, 238.36707;
 259.22101, 233.88335;
 218.14349, 229.44589;
 176.02277, 223.76593;
 134.26903, 219.68861;
 527.67975, 228.25421;
 492.58957, 222.4101;
 455.21213, 218.54132;
 417.99429, 213.98235;
 379.83911, 209.57547;
 341.85736, 204.26736;
 302.65628, 199.2235;
 262.42599, 194.16875;
 222.12869, 189.45801;
 180.36603, 184.10272;
 136.6824, 178.23495;
 529.5, 191;
 493.95221, 185.77524;
 456.59866, 181.35765;
 420.42114, 175.73994;
 382.23672, 171.4507;
 344.6882, 165.64212;
 305.51593, 160.27367;
 266.44022, 156.15166;
 225.63959, 149.77409;
 183.04111, 143.46925;
 143.5639, 138.44664;
 531.44928, 153.7312;
 495.77261, 147.53221;
 458.8222, 143.22594;
 422.95746, 137.31737;
 384.5932, 133.50722;
 348.84592, 126.86134;
 308.41745, 121.87784;
 269.5903, 116.12772;
 228.5, 112;
 188.84543, 104.52322;
 146.3656, 97.307747;
 533.00861, 117.38567;
 497.05054, 112.26073;
 461.86322, 105.24426;
 424.34326, 101.85287;
 388.25958, 95.454887;
 350.32501, 89.817719;
 312.53391, 83.164597;
 272, 79.5;
 233.69804, 71.566521;
 195.46126, 66.346046;
 153.5, 61]
