[561.987, 329.47925;
 519.26819, 335.67783;
 478.76929, 344.61908;
 438.93076, 352.33344;
 399.67639, 360.03085;
 360.41776, 367.16656;
 322.4248, 374.00513;
 285.73978, 380.44174;
 247.98663, 387.77451;
 211.58212, 394.60571;
 178.11153, 400.80426;
 552.25336, 287.3129;
 511.07642, 297.17932;
 470.56552, 305.46371;
 431.03369, 313.1593;
 391.93286, 320.45508;
 353.56406, 328.12546;
 315.8772, 335.61966;
 278.04437, 342.49438;
 242.25102, 349.5112;
 207.05269, 358.07617;
 172.07776, 364.41373;
 544.10706, 249.83485;
 502.35226, 257.89056;
 463.26929, 266.02823;
 423.73969, 273.60962;
 384.91916, 282.01324;
 346.46396, 289.97748;
 309.60776, 297.75192;
 271.54929, 305.30585;
 236.41818, 312.04398;
 202.22878, 319.03259;
 166.23967, 325.90622;
 534.87549, 209.05821;
 494.18628, 218.84921;
 455.11572, 228.06689;
 416.42969, 235.86479;
 377.60938, 243.93343;
 340.19424, 252.28929;
 302.6824, 259.94275;
 266.35825, 267.91403;
 231.57764, 275.71066;
 196.22243, 283.64178;
 162.07887, 290.49808;
 526.45862, 172.27611;
 486.18924, 181.28761;
 447.72452, 190.09091;
 408.69513, 197.30342;
 370.9119, 207.28108;
 334.22934, 214.97948;
 296.34344, 223.4729;
 260.38885, 232.23392;
 226.23236, 240.12785;
 190.38765, 248.0945;
 157.53061, 255.5901;
 519.24548, 132.91992;
 478.17871, 143.80043;
 440.72473, 152.23666;
 401.79791, 161.55904;
 363.94424, 170.50546;
 327.04053, 178.81013;
 289.9025, 187.80344;
 255.41925, 196.1275;
 220.1669, 204.29385;
 184.75558, 211.6058;
 151.78629, 219.95667;
 509.67709, 96.649307;
 470.5, 107;
 432.35782, 115.86675;
 395.00653, 125.69045;
 357.26563, 134.66257;
 319.53351, 143.27321;
 284.36639, 151.97009;
 249.91055, 159.72514;
 214.27222, 168.97804;
 179.98679, 176.7187;
 145.42162, 184.61877;
 502, 60.5;
 464, 72;
 422, 83;
 387.53278, 89.477211;
 350.73572, 97.970978;
 313.93958, 107.3815;
 277.5777, 117.56313;
 243.99435, 125.7223;
 209.40479, 134.09221;
 173.79088, 141.55641;
 142.27895, 150.2827]
