[558.60474, 382.75369;
 510.53827, 380.42157;
 464.43481, 380.18182;
 417.88181, 377.57162;
 370.68695, 377.65338;
 324.04184, 375.86404;
 277.76907, 374.46436;
 231.65808, 372.46695;
 185.8222, 372.16541;
 139.24435, 369.80737;
 93.692177, 368.50009;
 554.9823, 334.54489;
 509.42932, 335.87833;
 462.54581, 334.22403;
 417.48447, 333.0618;
 371.31381, 331.54407;
 325.52902, 330.3743;
 279.49957, 329.77255;
 233.92763, 327.48291;
 188.46091, 326.25549;
 143.68112, 325.85916;
 99.903702, 323.13879;
 552.617, 293.09186;
 506.19608, 292.00562;
 461.50327, 291.4483;
 416.59689, 289.55042;
 371.33249, 288.88831;
 326.28549, 287.56912;
 281.40683, 286.50946;
 236.33485, 284.32474;
 192.19044, 283.96478;
 146.65938, 285.91763;
 103.90253, 281.82275;
 548.5, 250.5;
 504.39389, 249.63022;
 459.9212, 249.46521;
 416.25107, 247.95541;
 371.55032, 247.37617;
 327.59055, 246.2504;
 282.76871, 244.60579;
 238.72652, 243.61258;
 195.02643, 243.47406;
 151.66481, 241.66223;
 108.22824, 240.6653;
 545.74683, 211.5195;
 502.87125, 209.66762;
 458.71381, 209.58122;
 415.86331, 207.71533;
 371.57324, 207.51945;
 327.93356, 206.03798;
 284.50223, 204.06148;
 241.3484, 203.70998;
 197.98579, 202.85982;
 155.0723, 202.46402;
 112.5, 201;
 544.25641, 171.35637;
 500.58337, 171.50487;
 458.22919, 169.79767;
 414.81812, 168.55113;
 372.18845, 167.90807;
 329.3494, 166.70824;
 286.0611, 166.02551;
 243.82776, 165.51468;
 201.13257, 164.47612;
 157.36829, 162.10474;
 116.48052, 161.61531;
 541.03253, 134.92712;
 498.71317, 133.11386;
 456.24002, 132.3046;
 413.59491, 131.79674;
 371.52008, 131.42511;
 330.49017, 128.67009;
 287.98779, 128.48735;
 246.32164, 128.07518;
 203.556, 125.61367;
 162.23201, 125.46336;
 121.5, 123.5;
 538.65314, 96.523178;
 496.82214, 96.335648;
 453.77301, 95.793678;
 413.47766, 95.88485;
 372.25452, 94.061798;
 330.17072, 91.627129;
 290.21802, 91.472939;
 247.94432, 91.448135;
 207.03214, 89.967216;
 164.23767, 87.392746;
 123.96387, 88.224976]
