[516.21399, 403.57275;
 478.32022, 395.71075;
 442.18756, 388.76718;
 404.61075, 380.36356;
 365.94064, 373.55191;
 327.5322, 365.50943;
 287.94867, 357.7233;
 248.14349, 349.2301;
 207.70535, 340.28931;
 168.34933, 331.67706;
 125.87504, 324.04767;
 520, 365.5;
 484.40234, 358.09256;
 447.49158, 349.58826;
 410.42844, 341.70993;
 372.49326, 333.83759;
 334.14749, 325.65839;
 295.32037, 317.89502;
 256.08081, 309.3783;
 216.24615, 300.41867;
 175.90019, 292.15475;
 133.67455, 283.9212;
 524.54059, 327.05457;
 489.36661, 320.00931;
 452.18185, 312.11264;
 416.12573, 304.03607;
 378.29291, 295.75009;
 340.39658, 287.57071;
 302.07993, 279.46484;
 263.50357, 270.04562;
 224.00441, 262.05386;
 183.7823, 253.11377;
 144.54181, 245.61092;
 528.5, 291.5;
 493.61902, 282.86398;
 458.28857, 274.41177;
 421.70166, 266.33527;
 383.99109, 258.29773;
 346.44409, 249.8425;
 308.6792, 241.37994;
 270.23291, 231.82811;
 231.52792, 224.3002;
 191.8824, 215.3795;
 152.15921, 205.83401;
 532.01764, 255.85054;
 498.50333, 246.32841;
 462.41687, 238.87495;
 427.39575, 229.50885;
 389.78821, 222.2756;
 352.61032, 214.04558;
 315.68176, 204.30807;
 277.48602, 195.95593;
 238.53108, 186.89175;
 199.99368, 178.02986;
 159.62592, 168.17477;
 536.76764, 218.63763;
 501.7276, 212.00067;
 466.66583, 204.10226;
 431.87729, 194.46431;
 395.70306, 187.11642;
 359.18329, 177.57109;
 322.1561, 168.23357;
 283.92212, 160.01169;
 246.12733, 150.46364;
 208.42531, 141.22244;
 168.49228, 131.46964;
 540.2702, 185.89044;
 504.99866, 178.4063;
 471.93112, 168.51357;
 436.39941, 159.80699;
 400.23972, 152.09808;
 365.1181, 140.90027;
 328.04764, 133.79677;
 290.97943, 123.6098;
 253.16452, 115.00206;
 215.45215, 104.34969;
 175.44273, 94.008003;
 544.15125, 151.32692;
 510.32187, 143.8145;
 476.65768, 133.63286;
 440.6601, 126.04237;
 406.24945, 116.33705;
 370.49951, 107.32224;
 334.36969, 98.127136;
 297.23288, 88.552063;
 260.24557, 79.483688;
 223, 69.5;
 184.45203, 59.916595]
