[515.76611, 358.0368;
 473.65311, 360.54523;
 434.46539, 361.73358;
 394.3403, 362.72827;
 354.40762, 363.67361;
 315.71432, 365.66104;
 276.35013, 367.48724;
 238.53954, 368.08307;
 200.48711, 370.3967;
 161.75708, 371.4494;
 124.18372, 371.32147;
 514.07654, 316.98193;
 472.49033, 319.57492;
 431.96426, 322.16275;
 392.65677, 323.31577;
 353.15308, 324.06503;
 313.93161, 326.49945;
 274.68555, 328.02606;
 236.05101, 329.64774;
 197.99348, 331.26419;
 159.42262, 331.62183;
 123.39732, 334.33038;
 511.67163, 278.17749;
 471.37189, 278.69849;
 430.49362, 281.54437;
 390.59039, 283.78589;
 351.63129, 285.75345;
 312.0585, 287.37558;
 273.06705, 288.62097;
 234.41669, 290.39951;
 195.9962, 291.43741;
 158.85321, 293.8671;
 121.33298, 295.39893;
 509.23645, 237.34238;
 468.13919, 239.55379;
 428.61658, 242.16901;
 388.91013, 244.20967;
 350.01172, 245.99646;
 310.32672, 248.28052;
 271.62054, 249.85693;
 233.02753, 252.07967;
 196.06551, 253.56015;
 157.97554, 255.91347;
 120.70797, 258.19879;
 506.45789, 199.51176;
 465.60049, 202.30693;
 426.40811, 203.42398;
 386.95602, 205.58452;
 347.7421, 207.75055;
 308.66721, 209.97305;
 269.85089, 211.68326;
 232.35603, 213.50572;
 193.6606, 215.71043;
 156.3371, 218.48257;
 119.24908, 218.09087;
 504.52768, 158.06902;
 463.98239, 162.24959;
 424.50793, 163.6046;
 385.19412, 166.45938;
 345.98975, 169.32852;
 307.35925, 171.46362;
 267.99487, 174.08086;
 230.47942, 176.27403;
 192.53984, 178.36737;
 153.56187, 179.52153;
 118.25031, 182.52841;
 501.91296, 120.63841;
 462.56366, 121.65752;
 422.29303, 125.41877;
 384.20248, 127.64123;
 343.96283, 130.65088;
 305.95587, 132.55637;
 267.33295, 136.33934;
 229.64891, 137.60031;
 191.53789, 140.30409;
 154.1591, 142.12683;
 116.5, 145;
 500, 82.5;
 459.88461, 84.427147;
 421, 87.5;
 381.33344, 89.693527;
 342.48822, 91.440071;
 304.0213, 94.275459;
 265.79825, 97.524544;
 227.85606, 99.80275;
 190.24509, 101.79337;
 153, 104.5;
 115.86263, 107.67577]
