[564.3606, 351.99911;
 516.13342, 351.76782;
 469.80032, 353.91861;
 421.94687, 354.13458;
 375.63138, 354.38254;
 328.18842, 354.57452;
 281.02289, 355.59329;
 234.42828, 355.80261;
 187.39236, 358.4126;
 139.43283, 358.17307;
 93.598808, 357.88406;
 558.4408, 305.44885;
 512.11182, 307.147;
 465.6069, 308.08304;
 419.6709, 308.12067;
 373.64172, 309.62405;
 326.98111, 309.61374;
 280.64548, 311.53433;
 233.91043, 311.26617;
 188.39169, 311.89258;
 141.90805, 312.16266;
 95.842407, 314.93118;
 552.20288, 263.77496;
 507.51401, 263.70181;
 461.99435, 265.92453;
 416.79718, 266.0278;
 371.55533, 267.52243;
 325.79572, 267.67056;
 280.21875, 268.66489;
 235.28392, 267.9556;
 190.05795, 270.03897;
 144.04442, 271.28802;
 99.724274, 271.51364;
 546.34961, 221.11649;
 502.35583, 223.64423;
 457.94119, 225.09401;
 414.16397, 225.59804;
 369.82233, 226.48584;
 324.64328, 227.53235;
 280.27042, 227.51381;
 236.0092, 228.02878;
 191.73689, 229.64888;
 146.68599, 229.36198;
 103.00923, 231.33858;
 541.16522, 185.38049;
 498.54541, 184.40131;
 454.28235, 186.30524;
 411.58496, 185.97758;
 367.6745, 187.95036;
 324.05756, 187.97231;
 280.258, 188.3752;
 236.48512, 189.35059;
 194.47063, 191.6282;
 149.77861, 191.44992;
 105.55322, 191.53975;
 537, 148;
 493.81873, 148.17624;
 450.6752, 149.2067;
 408.04581, 148.25217;
 366.09198, 149.63089;
 322.83365, 150.51122;
 280.03958, 150.75142;
 237.30836, 152.16451;
 194.64746, 152.6987;
 153, 151.5;
 109.85542, 153.53273;
 531.50311, 111.41707;
 489.81287, 113.20086;
 447.8779, 113.37978;
 407.01334, 112.79694;
 363.57245, 114.45136;
 321.99295, 113.98266;
 280.18417, 115.69176;
 238.10504, 115.51265;
 194.95966, 115.03526;
 153.66763, 116.2276;
 110.5, 118;
 525.5, 76.5;
 486.53046, 77.421501;
 441.17264, 77.23333;
 402.40204, 78.237961;
 362.58875, 79.340263;
 319.8649, 78.251534;
 280.08685, 79.408997;
 237.35236, 79.495102;
 197.44331, 80.530647;
 154.93759, 78.276482;
 114.50805, 81.8881]
