[468.59622, 372.88159;
 432, 372;
 394.46039, 370.67743;
 357.77814, 369.492;
 320.38943, 370.38663;
 282.24704, 369.2229;
 243.80319, 368.63989;
 205.5, 369;
 166.28369, 367.73016;
 128, 367.5;
 87.516304, 365.3273;
 468.59555, 333.2876;
 430.5, 334;
 393.76901, 333.58124;
 357.8844, 331.85809;
 320.0307, 332.08179;
 281.69818, 330.45984;
 244.33203, 330.03555;
 206.29572, 329.73962;
 168.22092, 327.30655;
 128.41667, 328.15799;
 89.5, 327;
 468.65628, 298.30106;
 432.49731, 295.4129;
 394.67084, 295.65787;
 358.50342, 294.33218;
 320.41968, 293.83359;
 282.36835, 293.68909;
 244.62715, 291.74518;
 206.57504, 291.88062;
 169.75139, 291.66156;
 129.40315, 290.49335;
 92.5, 288;
 466.70636, 260.68152;
 431.73334, 260.43835;
 395.84741, 257.60202;
 358.34726, 257.69769;
 320.51993, 257.45535;
 283.60886, 256.17764;
 246.15363, 254.71581;
 207.99557, 254.00237;
 169.88792, 253.65138;
 131.3716, 251.28699;
 92.160652, 252.03951;
 466.35831, 224.65303;
 433.98257, 223.33624;
 394.28912, 222.32248;
 358.13672, 221.67667;
 321.36536, 220.35387;
 283.80246, 219.52641;
 246.74368, 217.71394;
 209.41231, 217.18977;
 171.14014, 215.63737;
 132.18079, 215.90747;
 95.5, 214;
 466.52863, 187.05128;
 430.44739, 187.76157;
 394.47635, 186.9384;
 358.48123, 185.42467;
 321.94647, 184.29057;
 285.4743, 182.96408;
 247.96393, 181.53429;
 209.62912, 179.87161;
 172.40285, 179.50407;
 133.02408, 177.10623;
 96.50322, 176.35831;
 465.79443, 153.96667;
 430.69611, 151.20723;
 394.44617, 150.79494;
 358.09384, 149.85422;
 321.86923, 148.46553;
 286.07706, 145.93639;
 248.07826, 145.65286;
 211.49435, 143.9621;
 171.91969, 142.29579;
 136.14735, 140.63512;
 97.5, 140;
 463.86774, 120.64675;
 430.0369, 117.94257;
 394.38257, 115.98354;
 358.11191, 113.97855;
 322.18103, 113.26242;
 286.17929, 110.52591;
 249.4254, 109.69061;
 211.09415, 107.35329;
 174.89491, 106.36564;
 138.5, 103.5;
 99.345253, 102.45824]
