[514.52686, 308.39597;
 478.5, 309.5;
 442.22736, 308.79614;
 405.68878, 309.10364;
 369.98279, 308.88419;
 333.87671, 308.6369;
 298.48993, 308.5524;
 263.78644, 307.26389;
 227.65366, 307.64331;
 193.75966, 307.5892;
 159.2204, 307.70331;
 514.3858, 271.49164;
 477.72925, 272.50555;
 441.26694, 272.96375;
 405.87219, 272.58765;
 370.19058, 272.48413;
 334.08514, 272.7171;
 299.17365, 272.28433;
 263.96143, 273.24658;
 227.65558, 273.41595;
 193.95691, 273.0029;
 160.16028, 273.22983;
 513.34912, 236.38321;
 476.5, 236.5;
 441.29364, 237.87621;
 405.75525, 237.21298;
 369.80963, 237.58472;
 333.76471, 238.08582;
 299.12802, 238.03052;
 263.52582, 238.26323;
 229.77827, 238.30937;
 194.44493, 238.28346;
 160.5, 239.5;
 512.45569, 200.33167;
 476.2178, 201.75661;
 440.33179, 201.9492;
 405.01926, 202.33028;
 370.11395, 202.06261;
 334.40811, 203.16159;
 299.51685, 203.12953;
 264.28625, 203.5782;
 230.01732, 204.09296;
 196.04878, 204.01854;
 162.09015, 204.21945;
 511.84781, 167.73859;
 476.34213, 165.61281;
 440.19647, 167.69424;
 404.50363, 168.00824;
 369.63953, 168.34341;
 334.05124, 168.47841;
 299.57117, 168.51826;
 264.38766, 170.28419;
 229.91423, 169.8817;
 196.22543, 170.13539;
 162.5, 171;
 510.5, 132.5;
 474.77579, 132.48509;
 440.70508, 133.243;
 404.4874, 133.60086;
 369.97253, 133.07843;
 334.29495, 133.98279;
 300.11526, 134.72705;
 265.55081, 135.9039;
 233.5, 137;
 197.5, 135.5;
 163.74713, 136.655;
 510.49078, 97.321388;
 474.39832, 97.088829;
 439.51694, 99.209618;
 404.68234, 99.056763;
 368.67868, 100.31092;
 335.5, 101;
 300.20273, 101.73616;
 266.61398, 101.39555;
 230, 103.5;
 198.08255, 102.13888;
 163.5, 104.5;
 509, 65;
 475.10315, 66.344231;
 438.5, 65.5;
 404.20102, 66.022957;
 368.07355, 67.059631;
 333.82971, 67.267555;
 300.40875, 67.442635;
 265, 70.5;
 232.84985, 69.108398;
 198.5, 70;
 163.5, 70.5]
