[544.31012, 370.88831;
 502.40723, 367.6778;
 462, 366.5;
 420.06415, 365.7157;
 378.16489, 364.52899;
 336.96289, 363.25027;
 295.78217, 362.11981;
 254.03217, 360.43738;
 212.26231, 359.59674;
 170.5369, 358.64288;
 130.01775, 356.29791;
 543, 328.5;
 502.02942, 327.50085;
 461.44836, 325.67062;
 419.8605, 323.87445;
 379.22009, 323.33337;
 338.42093, 322.13998;
 295.90906, 322.0184;
 255.81416, 319.58459;
 214.35855, 318.03836;
 174.28764, 317.38391;
 133.60988, 315.39716;
 542.21124, 288.11639;
 501.98203, 285.4111;
 460.47675, 285.69949;
 420.39459, 284.24097;
 379.69733, 283.4765;
 339.34195, 282.02365;
 298.18945, 281.39297;
 257.70685, 279.35593;
 216.65927, 278.30389;
 176.66872, 276.83029;
 136.2363, 276.19946;
 539.72095, 248.94208;
 500.50488, 247.84218;
 460.43912, 246.57202;
 420.44247, 245.42447;
 380.05713, 244.32489;
 339.78729, 243.57806;
 299.59525, 241.6949;
 259.47195, 240.27023;
 219.47955, 240.08131;
 178.83435, 237.77487;
 139.04225, 237.25471;
 539.45581, 211.44635;
 500.61826, 209.42247;
 460.13037, 208.88261;
 420.33032, 207.4762;
 380.34982, 206.39618;
 339.88916, 205.7027;
 300.83072, 203.61649;
 260.99976, 202.72755;
 221.60748, 201.95796;
 181.82394, 200.31038;
 141.37195, 198.99976;
 538.43353, 173.18774;
 499.0657, 173.33437;
 460.21637, 171.6111;
 420.61121, 169.65956;
 380.3165, 169.94888;
 341.7756, 167.61121;
 301.86905, 166.30589;
 262.52957, 165.71957;
 223.66273, 163.8732;
 183.87521, 161.88237;
 145.05826, 161.19482;
 537.96539, 138.58835;
 498.58563, 135.1864;
 458.77805, 134.4348;
 419.96707, 134.01918;
 381.2778, 132.91617;
 342.78815, 130.28546;
 303.7908, 130.1815;
 264.33838, 128.29498;
 226.35649, 128.32129;
 185.94159, 126.16087;
 146.20274, 123.52972;
 536.72174, 100.52367;
 497.16495, 101.12868;
 459, 98.5;
 419.82578, 98.22702;
 382.5719, 96.448395;
 343.60196, 94.58699;
 304.85709, 93.394188;
 265.6788, 91.912178;
 227.72368, 90.435188;
 186.0005, 89.170517;
 150.25105, 87.732773]
