[531.5, 299;
 495.2092, 301.92334;
 459.66452, 306.61246;
 422.31992, 308.87888;
 386.70673, 312.1091;
 351.05634, 315.17633;
 312.5, 319;
 276.11844, 322.48563;
 239.79295, 327.2644;
 202.5, 328;
 166.5, 333.5;
 524.59369, 267.47467;
 489, 270.5;
 453.5766, 273.58438;
 418.5386, 278.85248;
 382.21021, 279.87509;
 346.35864, 284.24792;
 311.07022, 287.54346;
 275.53683, 292.14359;
 240.70341, 293.68234;
 204.5, 297;
 169, 301;
 518.56287, 238.70392;
 483.5679, 241.70615;
 447.93707, 243.76419;
 414.08853, 248.1149;
 378.117, 250.33099;
 344.28888, 253.79837;
 310.00317, 257.6835;
 274.26239, 260.49625;
 239.5, 263.5;
 205, 266.5;
 170.5, 270.5;
 511.5448, 209.58057;
 478.71167, 212.89653;
 444.03842, 215.9826;
 410.53055, 219.2821;
 375.53806, 222.31812;
 342.14301, 226.37915;
 307.74695, 227.44009;
 273.86542, 232.35585;
 240.45784, 233.61287;
 206.05853, 238.89255;
 171.97212, 242.48749;
 505.5, 183;
 472.00134, 186.06728;
 438.16116, 188.0813;
 406.20886, 192.04565;
 372.58557, 195.86649;
 339.27097, 198.48172;
 306.67047, 201.97057;
 272.96155, 204.73587;
 240.10423, 208.66064;
 206.40678, 211.92406;
 174.61551, 213.64606;
 499.59183, 157.76761;
 467.69089, 160.02116;
 434.7738, 164.80553;
 402.14496, 166.27753;
 369.5, 169;
 336.63046, 172.97246;
 304.22223, 176.26016;
 272.71451, 179.07294;
 240.39476, 181.91592;
 208, 185.5;
 176.89406, 188.64972;
 493.61179, 132.46036;
 462.1019, 135.64236;
 429.9444, 138.45294;
 397.86243, 141.86427;
 366.37106, 144.29277;
 335, 148;
 303, 150.5;
 272.11459, 153.25159;
 242.0818, 157.64354;
 208.30154, 160.63356;
 177, 163.5;
 487.48553, 108.77483;
 457.53647, 112.72102;
 425.45963, 114.87415;
 395.80267, 118.12757;
 363.99344, 120.45303;
 333, 124;
 302.57428, 127.43397;
 272, 130;
 241.82312, 133.13994;
 210, 137;
 178.32343, 140.65364]
