[500.65039, 359.58716;
 469.36285, 362.46814;
 436.5, 364.5;
 404.95636, 368.04425;
 372, 371.5;
 341.07962, 373.77066;
 305.77582, 378.4086;
 271.04318, 382.03748;
 237.4286, 385.1333;
 204.5, 388;
 168, 391.5;
 489.85825, 331.18237;
 461.74869, 334.27084;
 430.03445, 336.43213;
 398, 339.5;
 366.17819, 342.51483;
 335.39029, 346.88275;
 301.68719, 348.27979;
 269.91235, 352.11325;
 237.85199, 354.08688;
 201.71947, 358.91339;
 167.5, 361;
 481.2663, 303.35648;
 451.71017, 305.84802;
 423.41864, 310.61871;
 392.01096, 312.08673;
 359.77332, 314.25333;
 330.67706, 317.43857;
 298.60938, 320.43457;
 266, 324;
 232.96687, 326.8786;
 200.5, 330;
 165.07993, 333.40506;
 475.81693, 279.21277;
 446.82117, 282.08875;
 416.43906, 283.85831;
 386.12549, 285.99664;
 355.33261, 287.58429;
 325.69836, 292.01523;
 295.64426, 293.45059;
 262.75891, 296.61908;
 230.50565, 299.46017;
 197.25385, 303.04495;
 164, 303.5;
 468.49017, 255.25529;
 437.96014, 255.68376;
 409.82928, 258.81357;
 380.09961, 262.18271;
 350.46545, 263.81339;
 320.50891, 266.01355;
 290.84076, 268.66211;
 259.11694, 271.38638;
 228.23476, 274.48978;
 195.88713, 276.40616;
 164.63432, 279.48901;
 459.95569, 232.38701;
 432.17883, 234.5424;
 404.14423, 235.353;
 374.56009, 238.58093;
 346.77045, 239.44669;
 316.66974, 242.25323;
 286.18323, 243.69441;
 255.5, 246.5;
 228.02135, 248.42407;
 194.3654, 252.71901;
 162, 252.5;
 453.7059, 210.73724;
 425.5, 211;
 397.5, 213;
 369, 215;
 340.5, 217;
 312.58246, 218.4527;
 282.57132, 222.67873;
 250.6152, 223.57198;
 222.44814, 226.04881;
 192.5, 227;
 162.5, 230;
 446.27606, 188.64377;
 420.08746, 190.21173;
 392.06812, 192.33717;
 364.31003, 193.64925;
 336.5, 195;
 307.5, 197;
 279.5, 200;
 250.73351, 201.14325;
 220.56865, 204.95644;
 192, 204.5;
 161, 207]
