[552.5, 347.5;
 520.85089, 352.63727;
 487, 355;
 454.05432, 360.81363;
 418, 364.5;
 382.5, 368.5;
 346.77979, 372.96149;
 311.5, 377;
 273.26904, 381.96365;
 235.48033, 387.33682;
 200.03577, 389.49142;
 548.62598, 313.2912;
 515, 316;
 482.71915, 319.75992;
 448, 324.5;
 414.12747, 327.62662;
 378.5, 331.5;
 345.64764, 334.43585;
 307, 339;
 270, 343.5;
 233.5, 347;
 192.17152, 352.22604;
 541.5, 278.5;
 509.99847, 282.48199;
 477, 285;
 443.60965, 287.86227;
 409, 292;
 374.5, 294.5;
 340.96036, 298.39136;
 303.5, 302;
 267.45856, 306.76672;
 229, 309;
 192.03641, 310.68259;
 537, 244.5;
 505.76776, 249.29704;
 472.63446, 250.67311;
 439, 253;
 405.96927, 255.26604;
 371, 259;
 335, 262;
 299, 265.5;
 263, 268.5;
 227.81886, 273.12558;
 187.5, 275;
 531.5, 211.5;
 500.04272, 213.96687;
 468.27945, 216.34589;
 435.61224, 218.5022;
 401, 221;
 365.10678, 224.93532;
 330.5, 227.5;
 296, 229;
 260.22705, 232.21231;
 223.5, 235.5;
 185.5, 238;
 527, 178;
 496.19598, 180.45311;
 463, 182.5;
 430.32394, 184.48788;
 396.5, 187;
 362.5, 189.5;
 329.59195, 191.08698;
 293.48871, 194.89394;
 255.5, 196.5;
 220.5775, 201.42337;
 182.5, 202;
 522.10303, 146.91844;
 490.2861, 148.9776;
 458.32959, 149.61261;
 425.6669, 153.00807;
 392, 153;
 358.5, 155;
 323, 157.5;
 287.71268, 160.46394;
 254.80669, 162.05611;
 217, 165;
 180, 166;
 517, 113.5;
 485.27441, 115.22877;
 454, 116;
 421.5, 117;
 388.17264, 120.61719;
 354.5, 121;
 320, 123;
 284.67285, 125.37861;
 250, 127;
 213.5, 129;
 177.5, 131.5]
