[564.5, 348;
 528.17261, 344.73972;
 489.5, 342.5;
 452.32587, 339.58331;
 415, 338.5;
 378.45923, 335.57809;
 341.5, 334;
 306.90079, 331.58496;
 270.68002, 330.54944;
 234.5, 328;
 201.38176, 326.841;
 566.5, 309;
 528, 307.5;
 490.53821, 306.1232;
 452.5, 303.5;
 415.9017, 301.48047;
 379, 299.5;
 343, 297.5;
 308.57693, 296.47311;
 273.76324, 292.07388;
 236.5, 291;
 202, 289.5;
 568.5, 270;
 529.80322, 270.37354;
 492, 268;
 455.15317, 266.17725;
 418.74991, 265.44971;
 382.45691, 261.30939;
 347.36444, 262.2171;
 309, 259;
 274.85837, 258.73273;
 239.67766, 256.72427;
 204, 254.5;
 568.55048, 234.56801;
 530.5, 233.5;
 493.30615, 231.8905;
 456.65631, 231.12697;
 420.89624, 227.09781;
 384.97324, 227.48235;
 348.62872, 223.29601;
 312, 222.5;
 275.35904, 222.66222;
 242.51381, 220.7485;
 207.5, 219;
 570.15857, 199.2049;
 532.28986, 195.47617;
 494.5, 195;
 457.44421, 194.66774;
 422.80008, 192.70837;
 386.6138, 189.32448;
 350.57211, 190.62012;
 313, 187;
 279.5, 186.5;
 244, 185;
 210.38361, 184.07335;
 569.97424, 162.0679;
 532.5, 161;
 496, 159;
 459.83829, 158.56009;
 421.17197, 157.42737;
 387.7226, 156.80019;
 351, 153.5;
 316.5, 152;
 281.59283, 152.09904;
 246.5, 151;
 212.5, 149;
 571.52301, 126.6842;
 533.5, 124;
 497.51755, 124.19738;
 461, 122;
 424.68146, 121.91095;
 387.13565, 120.6105;
 353, 118.5;
 318.54196, 117.44482;
 284.81503, 118.74672;
 249.72939, 116.49199;
 215, 115.5;
 571, 89.5;
 535.04547, 90.896431;
 497.5, 87;
 462.09286, 87.532455;
 427, 87;
 390.5, 84;
 353.50946, 86.525864;
 321.00418, 85.8694;
 286, 82.5;
 251, 82.5;
 217.93681, 82.337852]
