[575.06403, 307.42929;
 545.26202, 310.62823;
 513.37695, 317.20593;
 483.5376, 323.99387;
 448.80069, 328.5285;
 416.14096, 337.74274;
 380.40845, 345.33932;
 340.7803, 353.20169;
 301.4129, 361.19809;
 259, 369;
 215.44603, 378.64603;
 557.13611, 272.73532;
 530.62891, 277.93707;
 499.09396, 281.9765;
 469.26901, 288.79785;
 435.41388, 293.40323;
 402.38541, 299.57541;
 365.05157, 305.95554;
 327.17178, 312.34686;
 288.41867, 319.1936;
 246.39221, 326.63687;
 200.32385, 335.52856;
 542, 239;
 513.96637, 243.59254;
 485.4921, 249.06995;
 453.37485, 252.36861;
 422.34497, 259.04251;
 386.6636, 262.30859;
 351.728, 268.5423;
 314.57224, 273.2507;
 275.64819, 280.67029;
 234, 285.5;
 190.5, 291;
 527.84045, 208.19714;
 500.58151, 213.04559;
 469.76251, 215.03868;
 440.61606, 219.55858;
 406.76315, 223.07196;
 374.52905, 227.97575;
 338.03796, 231.74731;
 301.88776, 237.06924;
 262.06082, 242.0994;
 221.88849, 246.31871;
 181.12277, 250.62698;
 514.34296, 178.63422;
 485.2644, 180.58844;
 456.69504, 184.60884;
 425.49423, 186.03226;
 394.27011, 190.58571;
 359.85022, 194.33118;
 326.61121, 197.88745;
 289.09372, 201.51993;
 251.36729, 206.50403;
 210.06667, 210.64807;
 170.2756, 214.77362;
 499.23041, 148.57941;
 472.05203, 151.05087;
 442.89188, 154.43533;
 412.9371, 156.72952;
 379.34348, 158.60573;
 348.1597, 161.81154;
 312.14987, 164.22066;
 277.72412, 168.70396;
 238.20161, 171.9287;
 200.81459, 174.61554;
 159, 176.5;
 485.71567, 120.55975;
 458.27585, 122.73395;
 429.04367, 123.53259;
 399.36169, 126.09185;
 368.18216, 128.12511;
 334.96231, 130.67183;
 302.63754, 132.52908;
 265.43777, 134.47641;
 228, 136.5;
 189.5, 139.5;
 150.67953, 143.90445;
 473.21768, 94.745171;
 445.50336, 94.571289;
 416.5, 95;
 386.73843, 96.781326;
 355.16974, 98.039078;
 324.63336, 99.85067;
 289.2774, 101.76538;
 253.5, 103;
 217.60313, 104.99668;
 178.5, 107.5;
 139.5, 109]
