[582.5, 348.5;
 549.42419, 354.66342;
 516, 360.5;
 481.98975, 366.44403;
 447.5, 372;
 412.92661, 377.81696;
 375, 385;
 339, 391.5;
 301.46558, 397.8208;
 263, 404;
 224.40532, 410.39548;
 576.84497, 312.51404;
 542.5, 317.5;
 509.31039, 323.82111;
 475, 329.5;
 440.0495, 335.57907;
 405.5, 340.5;
 369.38174, 345.46158;
 331.95581, 352.44049;
 295, 358.5;
 256.22272, 364.85056;
 218, 371;
 567, 278.5;
 535, 282.5;
 504.34119, 288.43332;
 468.35229, 293.1174;
 434.28253, 297.62585;
 397.45636, 303.94238;
 363, 309;
 326.98962, 313.83627;
 288.99683, 319.82712;
 250.5, 325.5;
 212.75291, 331.29254;
 560.5, 243;
 528, 247.5;
 495.54053, 252.46936;
 461, 257.5;
 426.99374, 262.01761;
 391.48276, 266.98114;
 355.34509, 272.60699;
 320.51761, 276.64163;
 283, 282.5;
 245, 287.5;
 207, 293;
 553.5, 208.5;
 521.5, 213;
 489.6908, 218.9913;
 453.51672, 222.4812;
 420.5206, 225.93137;
 385.78058, 229.07903;
 351.71246, 235.59544;
 314, 240.5;
 277, 245;
 239, 250;
 201.5, 255;
 546.5, 175;
 514, 178.5;
 480.5, 182.5;
 449.8075, 187.18985;
 414.5, 191;
 379.06635, 195.49899;
 344, 199.5;
 307.69052, 204.2401;
 271, 208.5;
 233.5, 213;
 196, 217.5;
 540.57532, 143.47409;
 507.5, 145.5;
 474.5, 148.5;
 442, 152;
 407.46124, 156.28607;
 372.28601, 161.09891;
 338.24124, 164.46155;
 299.10135, 168.55125;
 265, 172;
 228, 177;
 191, 180.5;
 533.5, 109;
 500.87823, 113.855;
 468, 114.5;
 434.92084, 118.55949;
 401.5, 121.5;
 366.5, 125.5;
 331.5, 128.5;
 295.5, 132.5;
 260, 136;
 222.5, 140.5;
 185.5, 144.5]
